STATUS=pass
COUNT=11
CRITICAL=0
HIGH=11
MEDIUM=0
ROWS
| 🟠 HIGH | `flask` | CVE-2025-47278 | 7.5 | Upgrade to >= 3.1.1 |
| 🟠 HIGH | `flask` | CVE-2026-27205 | 7.5 | Upgrade to >= 3.1.3 |
| 🟠 HIGH | `pip` | CVE-2026-8643 | 7.5 | Upgrade to >= 26.1.2 |
| 🟠 HIGH | `pip` | CVE-2025-8869 | 7.5 | Upgrade to >= 25.3 |
| 🟠 HIGH | `pip` | CVE-2026-1703 | 7.5 | Upgrade to >= 26.0 |
| 🟠 HIGH | `pip` | CVE-2026-3219 | 7.5 | Upgrade to >= 26.1 |
| 🟠 HIGH | `pip` | CVE-2026-6357 | 7.5 | Upgrade to >= 26.1 |
| 🟠 HIGH | `pip` | CVE-2026-13346 | 7.5 | Upgrade to >= 26.2 |
| 🟠 HIGH | `protobuf` | CVE-2026-0994 | 7.5 | Upgrade to >= 5.29.6 |
| 🟠 HIGH | `pytest` | CVE-2025-71176 | 7.5 | Upgrade to >= 9.0.3 |
| 🟠 HIGH | `setuptools` | CVE-2026-59890 | 7.5 | Upgrade to >= 83.0.0 |
